backbone,optim,lr,batch_size,frac_val,early_start,epochs,output_tab,double_img,torch_version,torchvision_version,executed,mem_usage,cum_mem
shuffle,ranger,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,225960
shuffle,sgd,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,227856
shuffle,sgd,0.001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,229752
shuffle,sgd,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,231648
shuffle,sgd,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,233544
shuffle,radam,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,235440
shuffle,radam,0.001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,237336
shuffle,radam,0.0001,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,239232
shuffle,radam,0.0005,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,241128
shuffle,ranger,0.01,16,0.2,100,100,0,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,243024
shuffle,adam,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,244920
shuffle,adam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,246816
shuffle,radam,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,248712
shuffle,radam,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,250608
shuffle,sgd,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,252504
shuffle,sgd,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,254400
shuffle,sgd,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,256296
shuffle,sgd,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,258192
shuffle,ranger,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,260088
shuffle,ranger,0.001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,261984
shuffle,ranger,0.01,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,263880
shuffle,adam,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,265776
shuffle,adam,0.0001,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,267672
shuffle,ranger,0.0005,16,0.2,100,100,5,1.0,1.12.0+cu113,0.13.0+cu113,1,1896,269568
regnet16x,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,271698
regnet16x,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,273828
regnet16x,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,275958
regnet16x,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,278088
regnet16x,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,280218
regnet16x,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,282348
regnet16x,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,284478
regnet16x,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,286608
regnet16x,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,288738
regnet16x,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,290868
