epochs,iter,train_acc_history,train_auc_history,train_loss_history,train_sensitivity_history,train_specificity_history,val_acc_history,val_auc_history,val_loss_history,val_sensitivity_history,val_specificity_history,backbone,Usando OCT,Dual Image,optim,lr,frac_val,k_fold,model_id
91,1,0.7221297836938436,0.5018419382433289,350.5516363978386,0.005988023952095809,0.9976958525345622,0.713375796178344,0.5108695652173914,92.34679812192917,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
92,1,0.7221297836938436,0.5,349.6654272675514,0.0,1.0,0.7070063694267517,0.5063650607128869,103.57235926389694,0.021739130434782608,0.990990990990991,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
93,1,0.7204658901830283,0.5006898645106101,353.6563003063202,0.005988023952095809,0.9953917050691244,0.7070063694267517,0.5,92.88363009691238,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
94,1,0.7221297836938436,0.5,349.9882208108902,0.0,1.0,0.7070063694267517,0.5,93.861999720335,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
95,1,0.7221297836938436,0.5018419382433289,353.40427535772324,0.005988023952095809,0.9976958525345622,0.694267515923567,0.49099099099099097,95.85117405653,0.0,0.9819819819819819,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
96,1,0.7237936772046589,0.5103617649493639,354.69637989997864,0.029940119760479042,0.9907834101382489,0.713375796178344,0.5108695652173914,93.8524602651596,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
97,1,0.7154742096505824,0.5046013962857695,350.0522991120815,0.029940119760479042,0.9792626728110599,0.7197452229299364,0.5217391304347826,90.7940981388092,0.043478260869565216,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
98,1,0.7204658901830283,0.5006898645106101,353.16694155335426,0.005988023952095809,0.9953917050691244,0.7070063694267517,0.5,94.69501966238022,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
99,1,0.7221297836938436,0.5,351.39140433073044,0.0,1.0,0.713375796178344,0.5108695652173914,93.89754036068916,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
100,1,0.7204658901830283,0.4988479262672811,346.27033692598343,0.0,0.9976958525345622,0.7006369426751593,0.4954954954954955,98.16523677110672,0.0,0.990990990990991,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
